0,-0.0152588,-0.0396729,-0.0457764,-0.0274658,-0.012207,-0.0335693,-0.0488281,-0.0244141,-0.0335693,-0.0457764,-0.0366211,-0.012207,-0.0305176,-0.0183105,-0.0488281,-0.0213623,-0.0183105,-0.0335693,-0.012207,-0.0518799
5.00E-05,-0.0305176,-0.0366211,-0.0518799,-0.0274658,-0.0183105,-0.0274658,-0.0244141,-0.0427246,-0.0335693,-0.0427246,-0.0427246,-0.0305176,-0.0244141,-0.0335693,-0.0335693,-0.0396729,-0.0366211,-0.0549316,-0.0274658,-0.0274658
1.00E-04,-0.0244141,-0.0274658,-0.0244141,-0.0152588,-0.012207,-0.0335693,-0.0335693,-0.0274658,-0.0518799,-0.0488281,-0.0244141,-0.0213623,-0.0335693,-0.0244141,-0.0457764,-0.0457764,-0.0274658,-0.0427246,-0.0244141,-0.0396729
1.50E-04,-0.0183105,-0.0488281,-0.0488281,-0.0366211,-0.012207,-0.0213623,-0.0335693,-0.0335693,-0.0366211,-0.0518799,-0.0396729,-0.0305176,-0.0244141,-0.0335693,-0.0305176,-0.0488281,-0.0305176,-0.0396729,-0.0213623,-0.0213623
2.00E-04,-0.0305176,-0.0305176,-0.0427246,-0.0244141,-0.00915527,-0.012207,-0.0396729,-0.0274658,-0.0427246,-0.0427246,-0.0213623,-0.0366211,-0.0274658,-0.0274658,-0.0366211,-0.0549316,-0.0305176,-0.0396729,-0.0183105,-0.0335693
2.50E-04,-0.0183105,-0.0396729,-0.0457764,-0.0396729,-0.012207,-0.0335693,-0.0457764,-0.0183105,-0.0183105,-0.0488281,-0.0305176,-0.0274658,-0.0244141,-0.0305176,-0.0305176,-0.0274658,-0.0274658,-0.0244141,-0.0305176,-0.0427246
3.00E-04,-0.0274658,-0.0274658,-0.0457764,-0.0335693,-0.0183105,-0.0305176,-0.0213623,-0.0335693,-0.0427246,-0.0427246,-0.0244141,-0.0335693,-0.0213623,-0.0274658,-0.0396729,-0.0518799,-0.0366211,-0.0366211,-0.0366211,-0.0366211
3.50E-04,-0.0183105,-0.0244141,-0.0366211,-0.0427246,-0.00915527,-0.0274658,-0.0366211,-0.0213623,-0.0335693,-0.0610352,-0.0335693,-0.0213623,-0.0396729,-0.0213623,-0.0335693,-0.0305176,-0.0305176,-0.0183105,-0.0274658,-0.0427246
4.00E-04,-0.0366211,-0.0244141,-0.0427246,-0.0396729,-0.0244141,-0.00610352,-0.0335693,-0.0274658,-0.0396729,-0.0366211,-0.0335693,-0.0366211,-0.0335693,-0.0366211,-0.0335693,-0.0366211,-0.0488281,-0.0335693,-0.0366211,-0.0274658
4.50E-04,-0.0274658,-0.0305176,-0.0305176,-0.0244141,-0.0152588,-0.0274658,-0.0549316,-0.012207,-0.0366211,-0.0640869,-0.0244141,-0.0152588,-0.0335693,-0.0244141,-0.0335693,-0.0366211,-0.0244141,-0.0274658,-0.0213623,-0.0427246
5.00E-04,-0.0274658,-0.0244141,-0.0396729,-0.0335693,-0.0366211,-0.0335693,-0.0366211,-0.0244141,-0.0305176,-0.0427246,-0.0366211,-0.0244141,-0.0183105,-0.0274658,-0.0152588,-0.0427246,-0.0274658,-0.0244141,-0.0366211,-0.0335693
5.50E-04,-0.0274658,-0.0305176,-0.0427246,-0.0183105,-0.0244141,-0.0366211,-0.0396729,-0.0274658,-0.0396729,-0.0518799,-0.012207,-0.0213623,-0.0305176,-0.0183105,-0.0244141,-0.0518799,-0.0305176,-0.0305176,-0.0305176,-0.0457764
6.00E-04,-0.012207,-0.0305176,-0.0366211,-0.0427246,-0.0244141,-0.0305176,-0.0427246,-0.0183105,-0.0183105,-0.0366211,-0.0396729,-0.00915527,-0.0213623,-0.0244141,-0.0274658,-0.0335693,-0.0305176,-0.0244141,-0.0366211,-0.0213623
6.50E-04,-0.0335693,-0.012207,-0.0396729,-0.0274658,-0.0305176,-0.0213623,-0.0396729,-0.0274658,-0.0396729,-0.0366211,-0.0305176,-0.0335693,-0.0152588,-0.0244141,-0.0274658,-0.0488281,-0.0305176,-0.0457764,-0.0244141,-0.0213623
7.00E-04,-0.0213623,-0.0274658,-0.0305176,-0.0274658,-0.0152588,-0.0335693,-0.0488281,-0.012207,-0.0244141,-0.0427246,-0.0427246,-0.00915527,-0.012207,-0.0183105,-0.0305176,-0.0366211,-0.0152588,-0.0366211,-0.0335693,-0.0183105
7.50E-04,-0.0366211,-0.0213623,-0.0549316,-0.0244141,-0.0274658,-0.0213623,-0.0274658,-0.0244141,-0.0274658,-0.0366211,-0.0366211,-0.0274658,-0.0183105,-0.0213623,-0.0244141,-0.0610352,-0.0244141,-0.0488281,-0.0396729,-0.0183105
8.00E-04,-0.0183105,-0.0335693,-0.0335693,-0.0274658,-0.0244141,-0.0335693,-0.0457764,-0.012207,-0.0305176,-0.0488281,-0.0305176,-0.0305176,-0.0213623,-0.00610352,-0.0244141,-0.0427246,-0.0152588,-0.0305176,-0.0213623,-0.0366211
8.50E-04,-0.0244141,-0.0213623,-0.0427246,-0.0335693,-0.0305176,-0.0183105,-0.0213623,-0.0183105,-0.0274658,-0.0427246,-0.0335693,-0.0366211,-0.012207,-0.0305176,-0.0244141,-0.0457764,-0.0274658,-0.0366211,-0.0274658,-0.0213623
9.00E-04,-0.0213623,-0.012207,-0.0305176,-0.0152588,-0.0152588,-0.0244141,-0.0213623,-0.012207,-0.0335693,-0.0335693,-0.0213623,-0.0274658,-0.0244141,-0.0152588,-0.0427246,-0.0396729,-0.0244141,-0.0335693,-0.0213623,-0.0244141
9.50E-04,-0.0244141,-0.0335693,-0.0366211,-0.0427246,-0.0213623,-0.0213623,-0.0305176,-0.0274658,-0.0152588,-0.0335693,-0.0427246,-0.0244141,-0.0305176,-0.0335693,-0.0335693,-0.0366211,-0.0305176,-0.0335693,-0.0244141,-0.0183105
0.001,-0.0274658,-0.00305176,-0.0274658,-0.0274658,-0.0183105,-0.0183105,-0.0335693,-0.0305176,-0.0274658,-0.0427246,-0.0305176,-0.0305176,-0.0213623,-0.0244141,-0.0335693,-0.0488281,-0.0305176,-0.0427246,-0.012207,-0.0396729
0.00105,-0.00915527,-0.0274658,-0.0335693,-0.0488281,-0.00305176,-0.0244141,-0.0396729,-0.0183105,-0.0274658,-0.0518799,-0.0366211,-0.0213623,-0.00915527,-0.0305176,-0.0335693,-0.0335693,-0.0213623,-0.0244141,-0.0213623,-0.0335693
0.0011,-0.0244141,-0.0244141,-0.0427246,-0.0366211,-0.0213623,-0.0244141,-0.0244141,-0.0244141,-0.0366211,-0.0274658,-0.0305176,-0.0366211,-0.00915527,-0.0213623,-0.0366211,-0.0457764,-0.0274658,-0.0427246,-0.0335693,-0.0244141
0.00115,-0.00915527,-0.0335693,-0.0427246,-0.0396729,-0.00915527,-0.0427246,-0.0274658,-0.012207,-0.0213623,-0.0457764,-0.0366211,-0.0305176,-0.0305176,-0.0152588,-0.0305176,-0.0396729,-0.00915527,-0.0183105,-0.0183105,-0.0335693
0.0012,-0.0213623,-0.0213623,-0.0579834,-0.0366211,-0.0305176,-0.0183105,-0.0183105,-0.0305176,-0.0244141,-0.0305176,-0.0427246,-0.0488281,-0.0183105,-0.0213623,-0.0213623,-0.0335693,-0.0244141,-0.0457764,-0.0244141,-0.0244141
0.00125,-0.0335693,-0.0183105,-0.0396729,-0.0244141,-0.0183105,-0.0244141,-0.0427246,-0.0183105,-0.012207,-0.0518799,-0.0305176,-0.0396729,-0.0274658,-0.00915527,-0.0305176,-0.0518799,-0.0244141,-0.0305176,-0.0152588,-0.0396729
0.0013,-0.0244141,-0.0305176,-0.0427246,-0.0244141,-0.0244141,-0.0305176,-0.0152588,-0.0305176,-0.00915527,-0.0427246,-0.0518799,-0.0305176,-0.0152588,-0.0305176,-0.0244141,-0.0518799,-0.0213623,-0.0335693,-0.0366211,-0.0152588
0.00135,-0.0274658,-0.0244141,-0.0335693,-0.0152588,-0.0244141,-0.0183105,-0.0305176,-0.0396729,-0.0213623,-0.0427246,-0.0335693,-0.0366211,-0.0274658,-0.0213623,-0.0335693,-0.0549316,-0.0152588,-0.0274658,-0.0244141,-0.0305176
0.0014,-0.0213623,-0.0396729,-0.0457764,-0.0335693,-0.0152588,-0.0183105,-0.0457764,-0.0274658,-0.012207,-0.0549316,-0.0457764,-0.0335693,-0.0305176,-0.0305176,-0.0213623,-0.0335693,-0.0213623,-0.012207,-0.0335693,-0.0213623
0.00145,-0.0183105,-0.0335693,-0.0488281,-0.0305176,-0.0274658,-0.0152588,-0.0335693,-0.0427246,-0.0244141,-0.0396729,-0.0335693,-0.0366211,-0.0152588,-0.0244141,-0.0213623,-0.0457764,-0.0335693,-0.0213623,-0.0396729,-0.0335693
0.0015,-0.0152588,-0.0244141,-0.0335693,-0.0305176,-0.0183105,-0.0305176,-0.0335693,-0.0244141,-0.0244141,-0.0488281,-0.0427246,-0.0305176,-0.0244141,-0.0274658,-0.0244141,-0.0366211,-0.0152588,-0.012207,-0.0305176,-0.0366211
0.00155,-0.0274658,-0.012207,-0.0518799,-0.0335693,-0.0244141,-0.0213623,-0.0213623,-0.0335693,-0.0274658,-0.0366211,-0.0396729,-0.0457764,-0.00915527,-0.0396729,-0.0152588,-0.0457764,-0.0335693,-0.0335693,-0.0274658,-0.0183105
0.0016,-0.0152588,-0.00915527,-0.0396729,-0.0274658,-0.0213623,-0.0244141,-0.0396729,-0.0274658,-0.0335693,-0.0518799,-0.0305176,-0.0366211,-0.0274658,-0.0305176,-0.0335693,-0.0457764,-0.0274658,-0.0335693,-0.00915527,-0.0366211
0.00165,-0.0183105,-0.0274658,-0.0457764,-0.0366211,-0.0335693,-0.0152588,-0.0366211,-0.0457764,-0.0183105,-0.0366211,-0.0518799,-0.0366211,-0.012207,-0.0457764,-0.0152588,-0.0427246,-0.0305176,-0.0305176,-0.0396729,-0.0183105
